contributor_employer,employer_categories,cleaned_boss,number_jobs,num_donations,total_donations
AUI,AUI,AUI,1,1,50
AURA,AURA,AURA,1,1,11.620000000000001
AUSHERMAN PROPERTIES,AUSHERMAN PROPERTIES,AUSHERMAN PROPERTIES,1,1,500
AUTOMOTIVE TRAINING INSTITUTE,AUTOMOTIVE TRAINING INSTITUTE,AUTOMOTIVE TRAINING INSTITUTE,1,1,1041.02
AUTONOMIC ENTERPRISE INC,AUTONOMIC ENTERPRISE INC,AUTONOMIC ENTERPRISE INC,1,1,500
AVA PARTNERS,AVA PARTNERS,AVA PARTNERS,1,1,1000
AVALON ASSISTED LIVING FACILITIES,AVALON ASSISTED LIVING FACILITIES,AVALON ASSISTED LIVING FACILITIES,1,1,3600
AVIAN,AVIAN,AVIAN,1,1,75
AVISON YOUNG,AVISON YOUNG,AVISON YOUNG,1,1,3
AVIV FOUNDATION,AVIV FOUNDATION,AVIV FOUNDATION,1,1,2000
AVON DIXON,AVON DIXON,AVON DIXON,1,1,250
AXELSON WILLIAMOWSKY BENDER & FISHMAN,AXELSON WILLIAMOWSKY BENDER & FISHMAN,AXELSON WILLIAMOWSKY BENDER & FISHMAN,1,1,500
AXINN VELTROP & HARKRIDER LLP,AXINN VELTROP & HARKRIDER LLP,AXINN VELTROP & HARKRIDER LLP,1,1,1000
AYRES JENKINS GORDY & ALMAND,AYRES JENKINS GORDY & ALMAND,AYRES JENKINS GORDY & ALMAND,1,1,1000
B&B SOLUTIONS INC,B&B SOLUTIONS INC,B&B SOLUTIONS INC,1,1,1800
B&B SOLUTIONS US LLC,B&B SOLUTIONS US LLC,B&B SOLUTIONS US LLC,1,1,3000
B. F. SAUL COMPANY,B. F. SAUL COMPANY,B. F. SAUL COMPANY,1,1,500
B.C.P.S. IN M.D.,B.C.P.S. IN M.D.,B.C.P.S. IN M.D.,1,1,85
B.F. SAUL COMPANY,B. F. SAUL COMPANY,B. F. SAUL COMPANY,1,1,1000
B.H.H.S. HOMESALE REALTY,B.H.H.S. HOMESALE REALTY,B.H.H.S. HOMESALE REALTY,1,1,1000
BAGLEY RHODY,BAGLEY RHODY,BAGLEY RHODY,1,1,3300
BAI AND COMPANY LLC,BAI AND COMPANY LLC,BAI AND COMPANY LLC,1,1,3300
BAIER PROPERTIES INC,BAIER PROPERTIES INC,BAIER PROPERTIES INC,1,1,1350
BAILEY & GLASSER LLP,BAILEY & GLASSER LLP,BAILEY & GLASSER LLP,1,1,350
BAILEY REAL ESTATE HOLDINGS LLC,BAILEY REAL ESTATE HOLDINGS LLC,BAILEY REAL ESTATE HOLDINGS LLC,1,1,3300
BAILEY WEALTH ADVISORS,BAILEY WEALTH ADVISORS,BAILEY WEALTH ADVISORS,1,1,1000
BAKER & HOSTETLER LLP,BAKER & HOSTETLER LLP,BAKER & HOSTETLER LLP,1,1,750
BAKER BOTTS L.L.P.,BAKER BOTTS L.L.P.,BAKER BOTTS L.L.P.,1,1,250
BAKERHOSTETLER,BAKER & HOSTETLER LLP,BAKER & HOSTETLER LLP,1,1,104.1
BAKERHOSTETLER LLP,BAKER & HOSTETLER LLP,BAKER & HOSTETLER LLP,1,1,1700
BALAGAN INC.,BALAGAN INC.,BALAGAN INC.,1,1,500
BALDUS REAL ESTATE INC.,BALDUS REAL ESTATE INC.,BALDUS REAL ESTATE INC.,1,1,50
BALDWIN HOMES INC,BALDWIN HOMES INC,BALDWIN HOMES INC,1,1,3300
BALLENTINE STRATEGIES,BALLENTINE STRATEGIES,BALLENTINE STRATEGIES,1,1,2000
BALTIMORE CITY COMMUNITY COLLEGE,BALTIMORE CITY COMMUNITY COLLEGE,BALTIMORE CITY COMMUNITY COLLEGE,1,1,200
BALTIMORE CITY DHCD,BALTIMORE CITY DHCD,BALTIMORE CITY DHCD,1,1,120
BALTIMORE CITY HEALTH DEPARTMENT,BALTIMORE CITY HEALTH DEPARTMENT,BALTIMORE CITY HEALTH DEPARTMENT,1,1,550
BALTIMORE CITY POLICE,BALTIMORE CITY POLICE,BALTIMORE CITY POLICE,1,1,95
BALTIMORE COUNTY POLICE DEPARTMENT,BALTIMORE COUNTY,BALTIMORE COUNTY POLICE DEPARTMENT,1,1,35
BALTIMORE GAS AND ELECTRIC CO,BALTIMORE GAS AND ELECTRIC CO,BALTIMORE GAS AND ELECTRIC CO,1,1,250
BALTIMORE RAVENS,BALTIMORE RAVENS,BALTIMORE RAVENS,1,1,3300
BALTIMORE RAVENS FOOTBALL TEAM,BALTIMORE RAVENS,BALTIMORE RAVENS,1,1,500
BALTIMORE REGIONAL HOUSING PARTNERSHIP,BALTIMORE REGIONAL HOUSING PARTNERSHIP,BALTIMORE REGIONAL HOUSING PARTNERSHIP,1,1,250
BALTIMORE TAPHOUSE,BALTIMORE TAPHOUSE,BALTIMORE TAPHOUSE,1,1,156.14999999999998
BALTIMORE TECHNOLOGY GROUP,BALTIMORE TECHNOLOGY GROUP,BALTIMORE TECHNOLOGY GROUP,1,1,1541.02
BALTIMORE WASHING CONFERENCE,BALTIMORE WASHING CONFERENCE,BALTIMORE WASHING CONFERENCE,1,1,33
BALTIOMORE SYMPHONY ORCHESTRA,BALTIOMORE SYMPHONY ORCHESTRA,BALTIOMORE SYMPHONY ORCHESTRA,1,1,625
BANEYLAW P.C.,BANEYLAW P.C.,BANEYLAW P.C.,1,1,250
BANK OF AMERICA CORP,BANK OF AMERICA CORP,BANK OF AMERICA CORP,1,1,200
BANK OF COMMERCE,BANK OF COMMERCE,BANK OF COMMERCE,1,1,378
BANK OF OCEAN CITY,BANK OF OCEAN CITY,BANK OF OCEAN CITY,1,1,270
BANNEKER,BANNEKER,BANNEKER,1,1,50
BANNEKER VENTURES,BANNEKER VENTURES,BANNEKER VENTURES,1,1,64
BANNER MANAGEMENT,BANNER MANAGEMENT,BANNER MANAGEMENT,1,1,1000
BANNER NEIGHBORHOODS,BANNER NEIGHBORHOODS,BANNER NEIGHBORHOODS,1,1,1000
BANNER NEIGHBORHOODS COMMUNITY CORP,BANNER NEIGHBORHOODS,BANNER NEIGHBORHOODS,1,1,250
BARCLAYS,BARCLAYS,BARCLAYS,1,1,500
BARCO ENTERPRISES INC.,BARCO ENTERPRISES INC.,BARCO ENTERPRISES INC.,1,1,312.29999999999995
BARNETT MENNEN M.D.,BARNETT MENNEN M.D.,BARNETT MENNEN M.D.,1,1,25
BARNSTORMING DESIGNS LLC,BARNSTORMING DESIGNS LLC,BARNSTORMING DESIGNS LLC,1,1,147
BASIC PROMOTIONS,BASIC PROMOTIONS,BASIC PROMOTIONS,1,1,250
BASTRESS & ASSOCIATES LLC,BASTRESS & ASSOCIATES LLC,BASTRESS & ASSOCIATES LLC,1,1,1250
BATCHAM SERVICES LLC,BATCHAM SERVICES LLC,BATCHAM SERVICES LLC,1,1,250
BATTLEFRONT MINIATURES,BATTLEFRONT MINIATURES,BATTLEFRONT MINIATURES,1,1,140
BAY AERA COSMETIC DERMATOLOGY,BAY AERA COSMETIC DERMATOLOGY,BAY AERA COSMETIC DERMATOLOGY,1,1,305
BAY ENGINEERING INC.,BAY ENGINEERING INC.,BAY ENGINEERING INC.,1,1,1000
BAY SHORE DEV. CORP.,BAY SHORE DEV. CORP.,BAY SHORE DEV. CORP.,1,1,1000
BAY SHORE DEVELOPMENT CORP.,BAY SHORE DEVELOPMENT CORP.,BAY SHORE DEVELOPMENT CORP.,1,1,1000
BB & T,BB & T,BB & T,1,1,250
BCA,BCA,BCA,1,1,203
BCPS/KELLY SERVICES,BCPS/KELLY SERVICES,BCPS/KELLY SERVICES,1,1,35
BCS KELLY SERUICES,BCS KELLY SERUICES,BCS KELLY SERUICES,1,1,50
BCS SUPPLY & SERVICES,BCS SUPPLY & SERVICES,BCS SUPPLY & SERVICES,1,1,25
BCT LLC,BCT LLC,BCT LLC,1,1,156.16
BDP INTL,BDP INTL,BDP INTL,1,1,14
BEACHLEY FURNITURE COMPANY,BEACHLEY FURNITURE COMPANY,BEACHLEY FURNITURE COMPANY,1,1,2000
BEACON GLOBAL STRATEGIES LLC,BEACON GLOBAL STRATEGIES LLC,BEACON GLOBAL STRATEGIES LLC,1,1,6600
BEATTY DEVELOPMENT GROUP,BEATTY DEVELOPMENT GROUP,BEATTY DEVELOPMENT GROUP,1,1,1041.02
BEAUTY PLUS,BEAUTY PLUS,BEAUTY PLUS,1,1,250
BECHTEL CORPORATION,BECHTEL CORPORATION,BECHTEL CORPORATION,1,1,700
BECKLEY PSYTECH,BECKLEY PSYTECH,BECKLEY PSYTECH,1,1,500
BECRAFT PLUS,BECRAFT PLUS,BECRAFT PLUS,1,1,250
BECTON DICKINSON & COMPANY,BECTON DICKINSON & COMPANY,BECTON DICKINSON & COMPANY,1,1,250
BECTON DICKINSON AND COMPANY,BECTON DICKINSON & COMPANY,BECTON DICKINSON & COMPANY,1,1,82
BELL NURSERY,BELL NURSERY,BELL NURSERY,1,1,6600
BELLAMY GENN GROUP,BELLAMY GENN GROUP,BELLAMY GENN GROUP,1,1,500
BELLWETHER,BELLWETHER,BELLWETHER,1,1,250
BELOVED COMMUNITY SERVICES CORP,BELOVED COMMUNITY SERVICES CORP,BELOVED COMMUNITY SERVICES CORP,1,1,1800
BENNETT REALTY SOLUTIONS,BENNETT REALTY SOLUTIONS,BENNETT REALTY SOLUTIONS,1,1,100
"BENNETT RIDGE, LLC","BENNETT RIDGE, LLC","BENNETT RIDGE, LLC",1,1,3300
BENSON AND MANGOLD,BENSON AND MANGOLD,BENSON AND MANGOLD,1,1,1000
BERGESON & CAMPBELL,BERGESON & CAMPBELL,BERGESON & CAMPBELL,1,1,250
BERKELEY RESEARCH GROUP LLC,BERKELEY RESEARCH GROUP LLC,BERKELEY RESEARCH GROUP LLC,1,1,1000
BERKSHIRE HATHAWAY,BERKSHIRE HATHAWAY,BERKSHIRE HATHAWAY,1,1,25
BERKSHIRE HATHAWAY HOMESERVICES,BERKSHIRE HATHAWAY HOMESERVICES,BERKSHIRE HATHAWAY HOMESERVICES,1,1,2000
BERMAN ENT,BERMAN ENT,BERMAN ENT,1,1,1000
BERMAN ENT.,BERMAN ENT,BERMAN ENT,1,1,1000
BERT JABIN YACHT YARD,BERT JABIN YACHT YARD,BERT JABIN YACHT YARD,1,1,3300
BES SOLUTIONS INC,BES SOLUTIONS INC,BES SOLUTIONS INC,1,1,3500
BESSEMER SECURITIES,BESSEMER SECURITIES,BESSEMER SECURITIES,1,1,6000
BEST BEST & KRIEGER LLP,BEST BEST & KRIEGER LLP,BEST BEST & KRIEGER LLP,1,1,250
BEST FENCE LLC,BEST FENCE LLC,BEST FENCE LLC,1,1,3300
BETAH ASSOCIATES INC,BETAH ASSOCIATES INC,BETAH ASSOCIATES INC,1,1,1000
BETH SHALOM CONGREGATION,BETH SHALOM CONGREGATION,BETH SHALOM CONGREGATION,1,1,288
BETHESDA PHYSIOCARE,BETHESDA PHYSIOCARE,BETHESDA PHYSIOCARE,1,1,25
BETHESDA PSYCHOTHERAPY GROUP,BETHESDA PSYCHOTHERAPY GROUP,BETHESDA PSYCHOTHERAPY GROUP,1,1,250
BETHESDA REGGIO,BETHESDA REGGIO,BETHESDA REGGIO,1,1,500
BEYOND INSIGHTS,BEYOND INSIGHTS,BEYOND INSIGHTS,1,1,250
BEYOND THE BALLET BARRE INC,BEYOND THE BALLET BARRE INC,BEYOND THE BALLET BARRE INC,1,1,500
BGR GOVERNMENT AFFAIRS LLC,BGR GOVERNMENT AFFAIRS LLC,BGR GOVERNMENT AFFAIRS LLC,1,1,1500
BHFS,BHFS,BHFS,1,1,250
BIALEK ENVIRONMENTS,BIALEK ENVIRONMENTS,BIALEK ENVIRONMENTS,1,1,250
BIDEN CANCER INITIATIVE,BIDEN CANCER INITIATIVE,BIDEN CANCER INITIATIVE,1,1,200
BIE,BIE,BIE,1,1,21.25
BIG CITIES HEALTH COALITION,BIG CITIES HEALTH COALITION,BIG CITIES HEALTH COALITION,1,1,500
BILL,BILL,BILL,1,1,665
BINGHAM MCCUTCHEN LLP,BINGHAM MCCUTCHEN LLP,BINGHAM MCCUTCHEN LLP,1,1,500
BIOCATCH,BIOCATCH,BIOCATCH,1,1,2500
BIOLOGICS CONSULTING,BIOLOGICS CONSULTING,BIOLOGICS CONSULTING,1,1,520.51
BIOSCIENCE INTL,BIOSCIENCE INTL,BIOSCIENCE INTL,1,1,350
BISHOP MCNAMARA HIGH SCHOOL,BISHOP MCNAMARA HIGH SCHOOL,BISHOP MCNAMARA HIGH SCHOOL,1,1,100
BJ'S ON THE WATER BAYFRONT SALOON & RE,BJ'S ON THE WATER BAYFRONT SALOON & RE,BJ'S ON THE WATER BAYFRONT SALOON & RE,1,1,1000
BK DISTRIBUTORS,BK DISTRIBUTORS,BK DISTRIBUTORS,1,1,728.45
BK MILLER COMPANY INC,BK MILLER COMPANY INC,BK MILLER COMPANY INC,1,1,6600
BLACK BEAR,BLACK BEAR,BLACK BEAR,1,1,2500
BLACK BEAR SPORTS GROUP INC,BLACK BEAR SPORTS GROUP INC,BLACK BEAR SPORTS GROUP INC,1,1,1000
BLACK HILLS SPECIAL SERVICES COOPERATI,BLACK HILLS SPECIAL SERVICES COOPERATI,BLACK HILLS SPECIAL SERVICES COOPERATI,1,1,133
BLACKBYRD EVENTS  MARKETING,BLACKBYRD EVENTS  MARKETING,BLACKBYRD EVENTS  MARKETING,1,1,1033.06
BLACKSTREET CAPITAL,BLACKSTREET CAPITAL,BLACKSTREET CAPITAL,1,1,1000
BLAND MANAGEMENT,BLAND MANAGEMENT,BLAND MANAGEMENT,1,1,500
BLANK CORPORATION,BLANK CORPORATION,BLANK CORPORATION,1,1,250
BLANK ROME,BLANK ROME,BLANK ROME,1,1,300
BLOCK,BLOCK,BLOCK,1,1,500
BLUE CROSS BLUE SHIELD AUGUSTA,BLUE CROSS BLUE SHIELD AUGUSTA,BLUE CROSS BLUE SHIELD AUGUSTA,1,1,3300
BLUE HOUSE,BLUE HOUSE,BLUE HOUSE,1,1,2000
BLUE INK LIMITED,BLUE INK LIMITED,BLUE INK LIMITED,1,1,897.99
BLUE MOON STRATEGIES,BLUE MOON STRATEGIES,BLUE MOON STRATEGIES,1,1,132.75
BLUE OWL GROUP,BLUE OWL GROUP,BLUE OWL GROUP,1,1,1000
BLUE RIDGE BEHAVIORAL HEALTH,BLUE RIDGE BEHAVIORAL HEALTH,BLUE RIDGE BEHAVIORAL HEALTH,1,1,600
BLUE WATER DEVELOPMENT CORP,BLUE WATER DEVELOPMENT CORP,BLUE WATER DEVELOPMENT CORP,1,1,6600
BLUEHALO,BLUEHALO,BLUEHALO,1,1,1500
BNSF RAILWAYS,BNSF RAILWAYS,BNSF RAILWAYS,1,1,1000
BOARD OF CHILD CARE,BOARD OF CHILD CARE,BOARD OF CHILD CARE,1,1,54
BOARDSOURCE,BOARDSOURCE,BOARDSOURCE,1,1,250
BOB BELL AUTOMOTIVE,BOB BELL AUTOMOTIVE,BOB BELL AUTOMOTIVE,1,1,1000
BOB EVANS FARMS INC.,BOB EVANS FARMS INC.,BOB EVANS FARMS INC.,1,1,66
BOB PORTER COMPANY,BOB PORTER COMPANY,BOB PORTER COMPANY,1,1,250
BOEING INTELLIGENCE & ANALYTICS,BOEING INTELLIGENCE & ANALYTICS,BOEING INTELLIGENCE & ANALYTICS,1,1,295.27
BOGERT CONSULTING,BOGERT CONSULTING,BOGERT CONSULTING,1,1,105
BOLANA ENTERPRISES INC,BOLANA ENTERPRISES INC,BOLANA ENTERPRISES INC,1,1,3000
"BOND & NORMAN LAW, PC","BOND & NORMAN LAW, PC","BOND & NORMAN LAW, PC",1,1,2000
BONFIRE REST,BONFIRE REST,BONFIRE REST,1,1,347.5
BONFIRE RESTAURANT,BONFIRE RESTAURANT,BONFIRE RESTAURANT,1,1,100
BONITA FARM,BONITA FARM,BONITA FARM,1,1,1000
BOONE AND SONE JEWELERS,BOONE AND SONE JEWELERS,BOONE AND SONE JEWELERS,1,1,6600
BOOTH CROPPER AND MARRINER,BOOTH CROPPER AND MARRINER,BOOTH CROPPER AND MARRINER,1,1,300
BOOZE ALLEN HAMILTON,BOOZ ALLEN HAMILTON,BOOZ ALLEN HAMILTON,1,1,250
BOSTON CONSULTING GROUP,BOSTON CONSULTING GROUP,BOSTON CONSULTING GROUP,1,1,4250
BOSTON SCIENTIFIC,BOSTON SCIENTIFIC,BOSTON SCIENTIFIC,1,1,250
BOTTOMLINE GROWTH STRATEGIES INC.,BOTTOMLINE GROWTH STRATEGIES INC.,BOTTOMLINE GROWTH STRATEGIES INC.,1,1,179.1
BOWIE STATE UNIVERSITY/LOGICAL PSYCH S,BOWIE STATE UNIVERSITY,BOWIE STATE UNIVERSITY/LOGICAL PSYCH S,1,1,250
BOWMAN DEVELOPMENT,BOWMAN DEVELOPMENT,BOWMAN DEVELOPMENT,1,1,3300
BOWMAN ENVIRONMENTAL CONSULTING LLC,BOWMAN ENVIRONMENTAL CONSULTING LLC,BOWMAN ENVIRONMENTAL CONSULTING LLC,1,1,250
BOWMAN JARASHOW LAW LLC,BOWMAN JARASHOW LAW LLC,BOWMAN JARASHOW LAW LLC,1,1,750
"BOWMAN JARASHOW LAW, LLC",BOWMAN JARASHOW LAW LLC,BOWMAN JARASHOW LAW LLC,1,1,250
BOYLE  CO PA,BOYLE  CO PA,BOYLE  CO PA,1,1,250
BOYS TOWN,BOYS TOWN,BOYS TOWN,1,1,5
BP,BP,BP,1,1,18.900000000000002
BRACEWELL LLP,BRACEWELL LLP,BRACEWELL LLP,1,1,2000
BRAD'S FUEL FILTERING INC,BRAD'S FUEL FILTERING INC,BRAD'S FUEL FILTERING INC,1,1,1000
BRAEBURN PHARMACEUTICALS INC,BRAEBURN PHARMACEUTICALS INC,BRAEBURN PHARMACEUTICALS INC,1,1,250
BRAINCARE,BRAINCARE,BRAINCARE,1,1,250
BRAND BUILDERS,BRAND BUILDERS,BRAND BUILDERS,1,1,160
BRANDLINKDC,BRANDLINKDC,BRANDLINKDC,1,1,250
BRANDYWINE INVESTMENT PROPERTIES LLC,BRANDYWINE INVESTMENT PROPERTIES LLC,BRANDYWINE INVESTMENT PROPERTIES LLC,1,1,1000
BRICK BODIES FITNESS SERVICES,BRICK BODIES FITNESS SERVICES,BRICK BODIES FITNESS SERVICES,1,1,572.56
BRIDGE TO THE BOARDROOM,BRIDGE TO THE BOARDROOM,BRIDGE TO THE BOARDROOM,1,1,250
BRIDGINGLIFE,BRIDGINGLIFE,BRIDGINGLIFE,1,1,2000
BRIGHT MINDS FOUNDATION,BRIGHT MINDS FOUNDATION,BRIGHT MINDS FOUNDATION,1,1,3300
BROADBAND CONNECT LLC,BROADBAND CONNECT LLC,BROADBAND CONNECT LLC,1,1,950
BROOKINGS INSTITUTE,BROOKINGS INSTITUTE,BROOKINGS INSTITUTE,1,1,1000
BROOKSFIELD SCHOOL,BROOKSFIELD SCHOOL,BROOKSFIELD SCHOOL,1,1,85
BROOKSLAW LLC,BROOKSLAW LLC,BROOKSLAW LLC,1,1,250
BROTMAN FINANCIAL GROUP,BROTMAN FINANCIAL GROUP,BROTMAN FINANCIAL GROUP,1,1,640.39
BROVENTURE COMPANY,BROVENTURE COMPANY,BROVENTURE COMPANY,1,1,3000
BROWN ADVISORY,BROWN ADVISORY,BROWN ADVISORY,1,1,3300
BROWN BROWN & YOUNG,BROWN BROWN & YOUNG,BROWN BROWN & YOUNG,1,1,3000
BROWN GOLDSTEIN & LEVY LLP,BROWN GOLDSTEIN & LEVY LLP,BROWN GOLDSTEIN & LEVY LLP,1,1,150
BROWN INVESTMENT ADVISORY & TRUST CO,BROWN INVESTMENT ADVISORY & TRUST CO,BROWN INVESTMENT ADVISORY & TRUST CO,1,1,6600
BROWN INVESTMENT ADVISORY & TRUST CO.,BROWN INVESTMENT ADVISORY & TRUST CO,BROWN INVESTMENT ADVISORY & TRUST CO,1,1,5000
BROWN RUDNICK,BROWN RUDNICK,BROWN RUDNICK,1,1,1000
BROWN RUDNICK LLP,BROWN RUDNICK LLP,BROWN RUDNICK LLP,1,1,250
BROWN SAFETY CONSULTING,BROWN SAFETY CONSULTING,BROWN SAFETY CONSULTING,1,1,500
BROWN SNEE YOUNG LUTCHE & HELMLINGE,BROWN SNEE YOUNG LUTCHE & HELMLINGE,BROWN SNEE YOUNG LUTCHE & HELMLINGE,1,1,3000
"BROWN, HAY, AND STEPHENS","BROWN, HAY, AND STEPHENS","BROWN, HAY, AND STEPHENS",1,1,207.2
"BROWN, SNEE &  YOUNG","BROWN, SNEE &  YOUNG","BROWN, SNEE &  YOUNG",1,1,1000
BROWNSTEIN HYATT,BROWNSTEIN HYATT,BROWNSTEIN HYATT,1,1,3000
BRUCE FOWLER,BRUCE A FOWLER,BRUCE A FOWLER,1,1,250
BRUCE HOFFMAN & SONS,BRUCE HOFFMAN & SONS,BRUCE N HOFFMAN & SONS INC,1,1,50
BRUCE N HOFFMAN & SONS INC,BRUCE N HOFFMAN & SONS INC,BRUCE N HOFFMAN & SONS INC,1,1,50
BRUCE PFEFFER MD,BRUCE PFEFFER MD,BRUCE PFEFFER MD,1,1,325
BRUNDAGE-BONE & BLANCHET L.L.C.,BRUNDAGE-BONE & BLANCHET L.L.C.,BRUNDAGE-BONE & BLANCHET L.L.C.,1,1,6600
BRYSON GILLETTE,BRYSON GILLETTE,BRYSON GILLETTE,1,1,600
BSA SOFTWARE ALLIANCE,BSA SOFTWARE ALLIANCE,BSA SOFTWARE ALLIANCE,1,1,250
BSC AMERICA INC,BSC AMERICA INC,BSC AMERICA INC,1,1,2300
BSC AMERICA INC.,BSC AMERICA INC,BSC AMERICA INC,1,1,750
BSC AMERICA.COM,BSC AMERICA.COM,BSC AMERICA.COM,1,1,2000
BUCH CONSTRUCTION,BUCH CONSTRUCTION,BUCH CONSTRUCTION,1,1,6600
BUCHANAN INGERSOLL & ROONEY,BUCHANAN INGERSOLL & ROONEY,BUCHANAN INGERSOLL & ROONEY,1,1,250
BUCHANAN PARTNERS LLC,BUCHANAN PARTNERS,BUCHANAN PARTNERS,1,1,250
BUCHHIESTER PROPERTIES,BUCHHIESTER PROPERTIES,BUCHHIESTER PROPERTIES,1,1,100
BULLY PULPIT INTERACTIVE MEDIA,BULLY PULPIT INTERACTIVE MEDIA,BULLY PULPIT INTERACTIVE MEDIA,1,1,1000
BUNZL USA,BUNZL USA,BUNZL USA,1,1,1000
BUREAU OF PRISONS,BUREAU OF PRISONS,BUREAU OF PRISONS,1,1,28
BURR YACHT SALES INC,BURR YACHT SALES INC,BURR YACHT SALES INC,1,1,3300
BURT WEALTH ADVISORS,BURT WEALTH ADVISORS,BURT WEALTH ADVISORS,1,1,250
BUSH FOUNDATION,BUSH FOUNDATION,BUSH FOUNDATION,1,1,1000
BUSINESS INTEGRA,BUSINESS INTEGRA,BUSINESS INTEGRA,1,1,2500
BUSINESS INTEGRA INC.,BUSINESS INTEGRA,BUSINESS INTEGRA,1,1,2500
BUSINESS OWNER,BUSINESS OWNER,BUSINESS OWNER,1,1,208
BUSINESS ROUNDTABLE,BUSINESS ROUNDTABLE,BUSINESS ROUNDTABLE,1,1,6600
BVTL,BVTL,BVTL,1,1,436
C&C,C&C,C&C,1,1,100
C&C MEAT SALES INC,C&C MEAT SALES INC,C&C MEAT SALES INC,1,1,2000
C-CARE LLC,C-CARE LLC,C-CARE LLC,1,1,150
C. BROWN & ASSOCIATES INC,C. BROWN & ASSOCIATES INC,C. BROWN & ASSOCIATES INC,1,1,250
C.B.R.E.,C.B.R.E.,C.B.R.E.,1,1,3300
C.M.I. GENERAL CONTRACTORS INC.,C.M.I. GENERAL CONTRACTORS INC.,C.M.I. GENERAL CONTRACTORS INC.,1,1,1000
C.S.I.S.,C.S.I.S.,C.S.I.S.,1,1,250
C.W.C.,C.W.C.,C.W.C.,1,1,2000
C2ES,C2ES,C2ES,1,1,1000
CACI INC,CACI INC,CACI INC,1,1,50
CACI INTERNATIONAL,CACI INTERNATIONAL,CACI INTERNATIONAL,1,1,109.1
CACI INTERNATIONAL INC,CACI INTERNATIONAL,CACI INTERNATIONAL,1,1,10
CADE FOUNDATION,CADE FOUNDATION,CADE FOUNDATION,1,1,1000
CAEP,CAEP,CAEP,1,1,201.09
CAESAR GUERINI,CAESAR GUERINI,CAESAR GUERINI,1,1,500
CAIC INC.,CAIC INC.,CAIC INC.,1,1,1000
CAIGANNE MECHANICAL CONTRACTO,CAIGANNE MECHANICAL CONTRACTO,CAIGANNE MECHANICAL CONTRACTO,1,1,400
CALCON MUTUAL,CALCON MUTUAL,CALCON MUTUAL,1,1,250
CALFEE,CALFEE,CALFEE,1,1,1300
CALHGREN & BURLING LLP,CALHGREN & BURLING LLP,CALHGREN & BURLING LLP,1,1,500
CALHOUN BUSINESS ENTERPRISES,CALHOUN BUSINESS ENTERPRISES,CALHOUN BUSINESS ENTERPRISES,1,1,250
CALIBRE CPA GROUP,CALIBRE CPA GROUP,CALIBRE CPA GROUP,1,1,25
CALICO MOON INC,CALICO MOON INC,CALICO MOON INC,1,1,156
CALIFORNIA STATE UNIVERSITY,CALIFORNIA STATE UNIVERSITY,CALIFORNIA STATE UNIVERSITY,1,1,550
CALLAS CONTRACTORS INC.,CALLAS CONTRACTORS INC.,CALLAS CONTRACTORS INC.,1,1,2000
CALVERT COUNTY PUBLIC SCHOOLS,CALVERT COUNTY PUBLIC SCHOOLS,CALVERT COUNTY PUBLIC SCHOOLS,1,1,124
CALVERT HEALTH PRIMARY CARE,CALVERT HEALTH PRIMARY CARE,CALVERT HEALTH PRIMARY CARE,1,1,1250
CALVERTHEALTH,CALVERTHEALTH,CALVERTHEALTH,1,1,500
CAMPAIGN FOR AMERICA'S FUTURE,CAMPAIGN FOR AMERICA'S FUTURE,CAMPAIGN FOR AMERICA'S FUTURE,1,1,150
CAMPUS EYE CENTER,CAMPUS EYE CENTER,CAMPUS EYE CENTER,1,1,20
CANE INVESTMENTS LLC,CANE INVESTMENTS LLC,CANE INVESTMENTS LLC,1,1,3300
"CANOPY FAMILIES, LLC","CANOPY FAMILIES, LLC","CANOPY FAMILIES, LLC",1,1,500
CANOPY TEAM,CANOPY TEAM,CANOPY TEAM,1,1,1200
CANTERBURY BUILDERS,CANTERBURY BUILDERS,CANTERBURY BUILDERS,1,1,208.2
CANTON STEVEDORING,CANTON STEVEDORING,CANTON STEVEDORING,1,1,6600
CANUSA CORPORATION,CANUSA CORPORATION,CANUSA CORPORATION,1,1,3300
CAPA,CAPA,CAPA,1,1,200
CAPABILITY CONSULTING,CAPABILITY CONSULTING,CAPABILITY CONSULTING,1,1,250
CAPGEMINI,CAPGEMINI,CAPGEMINI,1,1,825
CAPITAL DIGESTIVE CARE,CAPITAL DIGESTIVE CARE,CAPITAL DIGESTIVE CARE,1,1,1350
"CAPITAL DIGESTIVE CARE, LLC",CAPITAL DIGESTIVE CARE,CAPITAL DIGESTIVE CARE,1,1,500
CAPITAL GROUP,CAPITAL GROUP,CAPITAL GROUP,1,1,4000
CAPITAL ONE BANK,CAPITAL ONE BANK,CAPITAL ONE BANK,1,1,250
CAPITAL ONE FIN SERVICES,CAPITAL ONE FIN SERVICES,CAPITAL ONE FIN SERVICES,1,1,125
CAPITAL STEEL INDUSTRIES,CAPITAL STEEL INDUSTRIES,CAPITAL STEEL INDUSTRIES,1,1,500
CAPITAL WOMEN'S CARE,CAPITAL WOMEN'S CARE,CAPITAL WOMEN'S CARE,1,1,1000
CAPITAL WOMENS CARE,CAPITAL WOMEN'S CARE,CAPITAL WOMEN'S CARE,1,1,2000
CAPITALHILL COUNSELING,CAPITALHILL COUNSELING,CAPITALHILL COUNSELING,1,1,250
CAPITOL COLLECTIVE,CAPITOL COLLECTIVE,CAPITOL COLLECTIVE,1,1,500
